id,body,picture,actor,time,feed_order,post_class,ZA,AL,RV,SN,Normal,ALID_1_control,ALID_2_health effects,ALID_3_social impact,RVID_1_healthy formal,RVID_2_healthy informal,RVID_3_unhealthy formal,RVID_4_unhealthy informal,SNID_1_drinking,SNID_2_drinking myth,SNID_3_ drinking myth intervene,Norm_1,norm_2,Norm_3,likes,,time_reverse
228,Profile photo updated!,Bot-Sp18.9.jpg,KatieeeM,-10:37:14,13,vaccination,2,0,0,0,0,,,,,,,,,,,,,,,,-5:49:25
223,Profile photo updated!,Bot-Sp18.9.jpg,KatieeeM,-10:37:14,13,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-5:49:25
117,magic school bus,jh_post1.png,jhalll,-40:37:14,31,normal,0,0,0,0,0,,,,,,,,,,,,,,,,-8:00:04
127,Girls just wanna have fun,ash_p2.png,claire_bouf,-8:49:25,10,3_Drink+M+I,0,0,0,3,0,,,,,,,,,,1,,,,12,,-7:35:31
215,Girls just wanna have fun,ash_p2.png,claire_bouf,-8:49:25,10,1_Drink,0,0,0,1,0,,,,,,,,1,,,,,,12,,-7:35:31
216,Girls just wanna have fun,ash_p2.png,claire_bouf,-8:49:25,10,2_Drink+M,0,0,0,2,0,,,,,,,,,1,,,,,12,,-7:35:31
183,Profile photo updated!,Bot-Sp18.12.JPG,mariaann,-11:00:52,16,vaccination,3,0,0,0,0,,,,,,,,,,,,,,,,-5:51:12
229,Profile photo updated!,Bot-Sp18.12.JPG,mariaann,-11:00:52,16,vaccination,2,0,0,0,0,,,,,,,,,,,,,,,,-5:51:12
119,road trip with the best,cj_post1.png,jcoop,-41:00:52,33,normal,0,0,0,0,1,,,,,,,,,,,,,,,,-6:35:31
154,Not tryna get MORE anxiety 🙄,Mood_Harm_v1.jpeg,nickmoree13,-10:47:14,14,2_health effects,0,2,0,0,0,,1,,,,,,,,,,,,11,,-5:49:25
155,Not tryna get MORE anxiety 🙄,Mood_Social_v1.jpeg,nickmoree13,-10:47:14,14,3_social impact,0,3,0,0,0,,,1,,,,,,,,,,,11,,-5:49:25
211,"hot, hot",controlmessage_03.png,nickmoree13,-10:47:14,14,1_vaping control,0,1,0,0,0,1,,,,,,,,,,,,,11,,-5:49:25
184,Profile photo updated!,Bot-Sp18.5.jpg,PatelS,-16:30:29,18,vaccination,3,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
217,Profile photo updated!,Bot-Sp18.5.jpg,PatelS,-16:30:29,18,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
224,Profile photo updated!,Bot-Sp18.5.jpg,PatelS,-16:30:29,18,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
121,#nyc,jphoto_post1.png,juan_photography,-18:30:29,19,normal,0,0,0,0,0,,,,,,,,,,,,,,,,-4:51:12
142,"Back with another #FreshFruitFriday post.  Physicians at @CenterforHealthPromotion want you, yes you, to eat more fruit. Do you know what fruit is in season where you live? Here, its cherry season. 

#freshfruit #cherries #cherryseason",chp_cherry.jpg,CHP,-15:48:08,17,1_healthy formal,0,0,1,0,0,,,,1,,,,,,,,,,13,,-3:10:44
143,"It is #FreshFruitFriday! It is also cherry season. This week’s post is sponsored by the @CenterforHealthPromotion. Thanks for your support. Eat a piece of fruit today.

#freshfruit #cherries #cherryseason",chp_cherry.jpg,girlyT,-15:48:08,17,2 _healthy informal,0,0,2,0,0,,,,,1,,,,,,,,,13,,-3:10:44
148,"We surprised our staff with a new team lunch location today! We’ll be back next month to share new health facts with the restaurant staff. Don’t forget to cook your meat to the proper temperature! 

#burgers #summer #welldone",chp_hamborger.jpg,CHP,-15:48:08,17,3_unhealthy formal,0,0,3,0,0,,,,,,1,,,,,,,,13,,-3:10:44
149,"This week’s post is sponsored by @CenterforHealthPromotion. It’s time for summer cookouts! Don’t forget to make sure your meat is cooked to the proper temperature. 

#burgers #summer #welldone",chp_hamborger.jpg,girlyT,-15:48:08,17,4_unhealthy informal,0,0,4,0,0,,,,,,,1,,,,,,,13,,-3:10:44
185,Profile photo updated!,person 3.jpg,sweetietooth,-15:00:52,15,vaccination,3,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
218,Profile photo updated!,person 3.jpg,sweetietooth,-15:00:52,15,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
225,Profile photo updated!,person 3.jpg,sweetietooth,-15:00:52,15,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
123,lmao guys i went ice skating for the first time today and broke my leg oops,owen_post.png,owen_the_oven,-20:43:47,21,normal,0,0,0,0,0,,,,,,,,,,,,,,,,-2:14:21
124,When the pizza is on its way 👀🍕,lc_post1.jpg,laurenchou3,-20:43:47,23,normal,0,0,0,0,1,,,,,,,,,,,,,,,,-2:14:21
156,"It could be nice to have a “quick fix,” but at this cost? Not here for it",Nicotine_Harms_v1.jpeg,marchii2,-21:11:03,22,2_health effects,0,2,0,0,0,,1,,,,,,,,,,,,11,,-1:33:49
157,"It could be nice to have a “quick fix,” but at this cost? Not here for it",Nicotine_Social_v1.jpeg,marchii2,-21:11:03,22,3_social impact,0,3,0,0,0,,,1,,,,,,,,,,,11,,-1:33:49
212,"really, thank me later",controlmessage_04.png,marchii2,-21:11:03,22,1_vaping control,0,1,0,0,0,1,,,,,,,,,,,,,11,,-1:33:49
186,Profile photo updated!,Bot-SP18.20.jpg,chefricky,-19:10:44,20,vaccination,3,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
219,Profile photo updated!,Bot-SP18.20.jpg,chefricky,-19:10:44,20,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
220,Profile photo updated!,Bot-SP18.20.jpg,chefricky,-19:10:44,20,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
1,Enjoying some bright colors and long walks with good company this winter!,post1.png,_walkwoman_,-7:10:44,,normal,0,,,,0,,,,,,,,,,,,,,,,-7:10:44
160,Profile photo updated!,2913_79168357874_504857874_1875291_3127690_n.jpg,anabohnana,-5:49:25,,vaccination,3,0,0,0,0,,,,,,,,,,,,,,,,-5:49:25
5,Great start to a beach weekend. We’re doing Wellness Days right.,post5.png,bradlee,-7:33:49,,normal,0,,,,1,,,,,,,,,,,,,,,,-7:33:49
161,Profile photo updated!,6a44ddcf-e8b4-4950-b53b-fc371b7980bd.jpg,ben_park,-5:51:12,,vaccination,3,0,0,0,0,,,,,,,,,,,,,,,,-5:51:12
2,"The world might be a little dull at the moment...but having a view like this to walk by reminds me everything will be okay (: and also, that it's always a great day to be a Tar Heel",post2.png,_walkwoman_,-7:14:21,,normal,0,,,,1,,,,,,,,,,,,,,,,-7:14:21
162,Profile photo updated!,20191207_152953.jpg,vilbert,-7:10:44,,vaccination,3,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
3,miss the good old lax days,post3.jpg,caffeinated,-7:21:28,88,normal,0,,,,0,,,,,,,,,,,,,,,,-7:21:28
163,Profile photo updated!,2202061519_2b47a5077c_z.jpg,maurine_hume,-7:10:44,,vaccination,3,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
164,Profile photo updated!,10731353084_c17a5fcd20_b.jpg,ededdneddy,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
4,it’s Chinese Lantern Festival season!,post4.jpg,caffeinated,-7:33:49,,normal,0,,,,1,,,,,,,,,,,,,,,,-7:33:49
165,Profile photo updated!,50074011633_27d6b9f0c4_b.jpg,angelbao,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
166,Profile photo updated!,13001796540654.jpg,cassiechan,-7:14:21,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:14:21
167,Profile photo updated!,b-murphy.jpg,bxssiem,-7:21:28,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:21:28
168,Profile photo updated!,bot1.jpg,Nina,-7:33:49,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
169,Profile photo updated!,bot12-1.jpeg,Saina,-7:33:49,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
170,Profile photo updated!,bot43.jpg,southerngirlCel,-7:33:49,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
171,Profile photo updated!,Bot-SP18.24.jpg,aleeboi,-5:49:25,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-5:49:25
172,Profile photo updated!,Bot-SP18.22.jpg,plate.it.up,-5:51:12,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-5:51:12
173,Profile photo updated!,Bot-Sp18.8.jpg,B.Mike,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
174,Profile photo updated!,Bot-SP18.21.jpg,bblueberryy,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
175,Profile photo updated!,Bot-Sp18.1.jpg,BeardedMatt,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
176,Profile photo updated!,Bot-SP18.18.png,dana84,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
177,Profile photo updated!,Bot-SP18.19.jpg,Trevor,-7:14:21,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:14:21
900,Profile photo updated!,Bot-Sp18.14.jpg,TimBJenkins,-27:33:49,30,vaccination,3,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,
187,Profile photo updated!,Bot-SP18.21.jpg,lucyinurdreams,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
188,Profile photo updated!,Bot-Sp18.13.jpg,masterchefterry,-7:14:21,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:14:21
189,Profile photo updated!,Bot-Sp18.2.jpg,MedicalRyan,-7:21:28,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:21:28
190,Profile photo updated!,Bot-Sp18.4.jpg,this_jack,-7:33:49,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
191,Profile photo updated!,men42.jpg,cantbeatme,-7:33:49,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
192,Profile photo updated!,e-costa.jpg,evecosta,-7:33:49,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
193,Profile photo updated!,eveybarns.jpg,ashiNG,-5:49:25,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-5:49:25
194,Profile photo updated!,frame1.png,Jess,-5:51:12,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-5:51:12
195,Profile photo updated!,goobleaf.jpg,goobleaf,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
196,Profile photo updated!,image-5.png,jupiterpride,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
197,Profile photo updated!,pacniti.jpg,pacniti,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
198,Profile photo updated!,StargalFunky.jpeg,StargalFunky,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
199,Profile photo updated!,IMG_2539lkjkj.jpg,dominguez2,-7:14:21,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:14:21
200,Profile photo updated!,IMG_2826.jpg,jonnyboyca,-7:21:28,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:21:28
201,Profile photo updated!,image-120.png,snowbird,-7:33:49,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
202,Profile photo updated!,IMG_1408.JPG,lisapowell,-7:33:49,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
203,Profile photo updated!,IMG_20190530_163355.jpg,phyllisherrera48,-7:33:49,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:33:49
204,Profile photo updated!,jiang-li.jpg,JiLi8,-5:49:25,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-5:49:25
205,Profile photo updated!,s-jukes.jpg,siennasings,-5:51:12,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-5:51:12
206,Profile photo updated!,Krypto4me.jpg,Krypto4me,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
207,Profile photo updated!,lucio.g.jpg,mr_worldwide,-7:10:44,,vaccination,0,0,0,0,0,,,,,,,,,,,,,,,,-7:10:44
208,Profile photo updated!,Pic-with-pets.jpeg,sweetcakers,-7:10:44,,vaccination,0,,,,1,,,,,,,,,,,,,,,,-7:10:44
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Look at my new squishmellow! I’m so excited I was able to get my hands on this limited edition one,post7.png,breethebaker,-27:33:49,24,normal,,,,,1,,,,,,,,,,,,,,,,-5:49:25
8,So excited for our next steps! Love my friends!,post8.png,breethebaker,-27:33:49,25,normal,,,,,1,,,,,,,,,,,,,,,,-5:51:12
9,Studying in the quad with Lydia makes Monday’s that much better,post9.png,kingsaqueen,-27:33:49,26,normal,,,,,0,,,,,,,,,,,,,,,,-7:10:44
10,Currently.,post10.png,kingsaqueen,-27:33:49,27,normal,,,,,0,,,,,,,,,,,,,,,,-7:10:44
11,Mack is Indeed Back,post11.png,lukas_m,-27:33:49,28,normal,,,,,0,,,,,,,,,,,,,,,,-7:10:44
12,Rearrange Us,post12.png,lukas_m,-27:33:49,29,normal,,,,,0,,,,,,,,,,,,,,,,-7:10:44
13,Feeling >:( today...,post13.png,karkarw,-27:33:49,30,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
14,Mr. Lovenstein made a comic about me...,post14.png,karkarw,-27:33:49,29,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
15,missing this view a little extra today,post15.png,jonsmith88,-27:33:49,30,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
16,"Hawaii is home to my new favorite dish, Loco Moco 👌",post16.png,jonsmith89,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
17,Feeling so WELL!,post17.png,janeross,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
18,Missing this a little extra today,post18.png,janeross,-15:49:25,55,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
19,daydreaming of a UNC wellness day….,post19.png,ancho-n-cayenne,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
20,love these little sneak peeks of summer :),post20.png,ancho-n-cayenne,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
21,Matching bracelets wit da babe,post21.png,ededdneddy,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
22,Check out my new buddy,post22.png,NoahM1121,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
23,"This is a reminder that we should honor Black history EVERY month. Here is my favorite rare picture of Dr. Martin Luther King, Jr. 🙌🏿🌟 #blackhistory #mlk",post23.jpg,james_c,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
24,I think it's time for me to come out of retirement 👩🏿‍🍳😌,post24.jpg,james_c,-7:14:21,,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
25,"UNC Campus Health helps to ensure a safe, and healthy culture for all students at Carolina. UNC Campus Health is now on clickbrite to contribute to the positive environment that UNC students and faculty help to create.",post25.png,honeylove,-7:21:28,,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
26,I have been feeling myself lately. I got an A on my Spanish assignment :),post26.png,honeylove,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
27,I think August wants a bath!,post27.png,KatieeeM,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
28,fresh powder today at Deer Valley,post28.png,KatieeeM,-7:33:49,66,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
29,Really missing the wonderful city of Rome today! Looking forward to days when we can all travel again...hopefully soon 🤞,post29.png,jupiterpride,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
30,Made some banana bread on this lazy Sunday afternoon 🥰 I'm hoping it tastes as yummy as it looks!,post30.png,jupiterpride,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
31,I’ve been trying to work on my photography skills lately and I took this picture the other day. I really love how it came out so I felt like sharing.,post31.jpg,priscilla_lu,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
32,I’ve been feeling super down recently because of the pandemic. Cue endless scrolling on Pinterest to pretend like I’m in the places I’m seeing. This one is really making me want to go to the beachhhhhh. Who’s coming with me?,post32.jpg,priscilla_lu,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
33,I can't even 😍😍😻 I'm fangirling so hard right now 😵😍 #thebeatles #beatles #beatlesmania,post33.jpg,a_beatles_fan,-7:10:44,888,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
34,wellness weekend trip to wilmington ⚡,post34.png,tastyrobot,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
35,Coral goes up for adoption Monday!!! #peaklabrescue 💗💗💗,post35.png,tastyrobot,-7:14:21,,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
36,Happy Gameday!! ✨✨☁☁🤍🤍,post36.png,suzards,-7:21:28,,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
37,in ze car! 🚗💨 #vroomvroom,post37.png,suzards,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
38,"My bestie, Roxy",post38.png,dana84,-7:33:49,100,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
39,Personality pic of Maddy and I,post39.png,dana84,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
40,Missing the homeland. Anyone interested in buying me flights home?,post40.png,SamTHEMAN,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
41,"Good friends are like a foot fungus, they continuously grow on you, and are there for you every step of the way :')",post41.png,SamTHEMAN,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
42,Today's #cottagecore set up!,post42.png,artisanalways,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
43,The morning view of a caffeine addict,post43.png,artisanalways,-7:10:44,260,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
44,if you're not playing video games at art exhibits you should reassess your life choices...🤪,post44.png,janereeed,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
45,the best concert i've ever been to... love you #rexorangecounty 🗣🗣🗣,post45.png,janereeed,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
46,Sand dunes in the distance or looking up from a canyon?,post46.png,youngcunningham,-7:14:21,,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
47,No cloud watching today #bluebirdday,post47.png,youngcunningham,-7:21:28,,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
48,"Self-reassurance is not only important, but essential ✨",post48.png,juliag26,-7:33:49,240,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
49,A little weekend getaway to the coast for some much needed R&R 🌅,post49.png,juliag26,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
50,"Spilled coffee all over myself on the way to Trader Joes :/ Was so upset AND STICKY but had to go in and get groceries for dinner. When I got inside, one of the Trader Joes workers told me she loved my outfit, coffee stains and all <3",post50.png,mewranda,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
51,"Had the best day exploring Fearrington Village with my friend Hannah! The goats and cows were the best end to a very stressful week! After two midterms and a paper being due all in one week, lunch on the farm and seeing the goats and cows made all of it worth it! Plus, we discovered a hidden garden!",post51.png,mewranda,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
52,Bubba loves lake days!!,post52.png,sydthebaker,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
53,Love how Starbucks spells my name haha,post53.png,sydthebaker,-7:10:44,250,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
54,Baking Christmas cookies for the big man with a white beard!,post54.png,pr1ncessdiana,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
55,Found a new friend at the beach!,post55.png,pr1ncessdiana,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
56,city views,post56.png,lucyinurdreams,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
57,Sunsets @ Carolina,post57.png,lucyinurdreams,-7:14:21,,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
